$1.03e-03$ & $5.80e-04$ & $7.59e-04$ & $8.13e-04$ \\
$2.45e-04$ & $4.96e-04$ & $8.24e-03$ & $2.27e-04$ \\
$5.73e-04$ & $9.51e-04$ & $5.28e-04$ & $4.58e-04$ \\
$3.42e-04$ & $8.53e-04$ & $4.40e-04$ & $4.47e-04$ \\
$3.02e-02$ & $1.64e-03$ & $3.91e-02$ & $8.60e-02$ \\
$8.72e-03$ & $1.64e-01$ & $2.62e-04$ & $3.19e-04$ \\
$5.75e-04$ & $9.71e-02$ & $2.14e-04$ & $2.09e-01$ \\
$4.96e-04$ & $4.24e-04$ & $8.81e-04$ & $5.19e-04$ \\
$6.83e-04$ & $6.12e-04$ & $1.33e-03$ & $1.08e-03$ \\
