Iter,Loss,ErrorLambda1,ErrorLambda2
3.500000000000000000e+01,1.535107009112834930e-02,9.867134457454085350e+01,2.250664274503108686e+01
3.600000000000000000e+01,1.468335464596748352e-02,9.935211502015590668e+01,2.248443564938126471e+01
3.700000000000000000e+01,1.262439507991075516e-02,1.007631358690559864e+02,2.242882282058495491e+01
3.800000000000000000e+01,1.041183806955814362e-02,1.011765480041503906e+02,2.237102292933828096e+01
3.900000000000000000e+01,7.772632408887147903e-03,1.006619331426918507e+02,2.234444170878773406e+01
4.000000000000000000e+01,7.825993932783603668e-03,9.921385953202843666e+01,2.227976610281417180e+01
4.100000000000000000e+01,5.967242643237113953e-03,9.993900699773803353e+01,2.231214047875162620e+01
4.200000000000000000e+01,6.738785654306411743e-03,1.007448570337146521e+02,2.226093103321657551e+01
4.300000000000000000e+01,5.545966792851686478e-03,1.002745840931311250e+02,2.229084039227854319e+01
4.400000000000000000e+01,5.190866068005561829e-03,1.000190598424524069e+02,2.231062635859368370e+01
4.500000000000000000e+01,4.193384200334548950e-03,1.003564444137737155e+02,2.231677792889720990e+01
4.600000000000000000e+01,3.462735563516616821e-03,1.006757958326488733e+02,2.232073512216023659e+01
4.700000000000000000e+01,2.862854860723018646e-03,1.007867179811000824e+02,2.233185329916542017e+01
4.800000000000000000e+01,3.011565655469894409e-03,1.005192596465349197e+02,2.234422227108368375e+01
4.900000000000000000e+01,2.589724725112318993e-03,1.006488785147666931e+02,2.233821699258286131e+01
5.000000000000000000e+01,2.458148403093218803e-03,9.988802070729434490e+01,2.236887243983859364e+01
5.100000000000000000e+01,2.293589524924755096e-03,9.997273842454887927e+01,2.236502496542759033e+01
5.200000000000000000e+01,2.220262307673692703e-03,1.002717694733291864e+02,2.235776889201368078e+01
5.300000000000000000e+01,2.126655308529734612e-03,1.001705819624476135e+02,2.236565402017919979e+01
5.400000000000000000e+01,2.036058343946933746e-03,1.001015416346490383e+02,2.236854328328251995e+01
5.500000000000000000e+01,1.917261630296707153e-03,9.996103063458576798e+01,2.237187873638407254e+01
5.600000000000000000e+01,1.733962213620543480e-03,9.983111168257892132e+01,2.237324656473931483e+01
5.700000000000000000e+01,1.407125731930136681e-03,9.937933287583291531e+01,2.237679414095478236e+01
5.800000000000000000e+01,1.341779599897563457e-03,9.870181260630488396e+01,2.237835214865353706e+01
5.900000000000000000e+01,1.228709472343325615e-03,9.823825974017381668e+01,2.237735736439517709e+01
6.000000000000000000e+01,1.138571533374488354e-03,9.840694889426231384e+01,2.237773040849206296e+01
6.100000000000000000e+01,1.159310108050704002e-03,9.848816767334938049e+01,2.237535316669819352e+01
6.200000000000000000e+01,1.110306475311517715e-03,9.844142524525523186e+01,2.237672830964357118e+01
6.300000000000000000e+01,1.081706490367650986e-03,9.851886667311191559e+01,2.236550772837649959e+01
6.400000000000000000e+01,1.046192832291126251e-03,9.868433531373739243e+01,2.234447828173840733e+01
6.500000000000000000e+01,1.016617403365671635e-03,9.895944083109498024e+01,2.230973397859721530e+01
