Iter,Loss,ErrorLambda1,ErrorLambda2
8.900000000000000000e+01,2.233387902379035950e-02,7.330455183982849121e+01,3.439940558714727104e+01
9.000000000000000000e+01,2.197365835309028625e-02,7.271983623504638672e+01,3.405591974899837737e+01
9.100000000000000000e+01,2.166186645627021790e-02,7.254233658313751221e+01,3.395676316512848558e+01
9.200000000000000000e+01,2.155757136642932892e-02,7.196089029312133789e+01,3.411758905842645362e+01
9.300000000000000000e+01,2.151746116578578949e-02,7.190717458724975586e+01,3.413545860212623495e+01
9.400000000000000000e+01,2.143449522554874420e-02,7.170530259609222412e+01,3.416541184872900772e+01
9.500000000000000000e+01,2.122027426958084106e-02,7.116217017173767090e+01,3.426958624143150445e+01
9.600000000000000000e+01,2.086691930890083313e-02,7.053047716617584229e+01,3.432960976807921583e+01
9.700000000000000000e+01,2.033706568181514740e-02,6.866892874240875244e+01,3.451807018290718077e+01
9.800000000000000000e+01,2.005235850811004639e-02,6.857551634311676025e+01,3.447225159030161734e+01
9.900000000000000000e+01,1.960714533925056458e-02,6.828040778636932373e+01,3.421458783820653338e+01
1.000000000000000000e+02,1.950943656265735626e-02,6.848928928375244141e+01,3.427319233436805490e+01
1.010000000000000000e+02,1.932759210467338562e-02,6.784780919551849365e+01,3.434182513360465094e+01
1.020000000000000000e+02,1.926685124635696411e-02,6.780154109001159668e+01,3.433023150824068637e+01
1.030000000000000000e+02,1.916308328509330750e-02,6.740007996559143066e+01,3.432563063104578305e+01
1.040000000000000000e+02,1.892845332622528076e-02,6.659145057201385498e+01,3.429916644393739489e+01
1.050000000000000000e+02,1.871392503380775452e-02,6.479177772998809814e+01,3.415021213042849979e+01
1.060000000000000000e+02,1.843135803937911987e-02,6.459326744079589844e+01,3.409194410541319087e+01
1.070000000000000000e+02,1.820103451609611511e-02,6.381844878196716309e+01,3.410089716373841640e+01
1.080000000000000000e+02,1.805325224995613098e-02,6.337562501430511475e+01,3.404019338020815155e+01
1.090000000000000000e+02,1.796708628535270691e-02,6.255464255809783936e+01,3.398299328535254915e+01
1.100000000000000000e+02,1.787644624710083008e-02,6.196715235710144043e+01,3.390345443222469157e+01
1.110000000000000000e+02,1.770005188882350922e-02,6.095397174358367920e+01,3.392157998657918938e+01
1.120000000000000000e+02,1.726399548351764679e-02,5.920282602310180664e+01,3.383064500202102209e+01
1.130000000000000000e+02,1.690959557890892029e-02,5.878694355487823486e+01,3.379090483381762766e+01
1.140000000000000000e+02,1.655764132738113403e-02,5.913071036338806152e+01,3.357473675155834059e+01
1.150000000000000000e+02,1.647350750863552094e-02,5.914788544178009033e+01,3.341071438237136704e+01
1.160000000000000000e+02,1.646638661623001099e-02,6.003665328025817871e+01,3.334025293560103620e+01
1.170000000000000000e+02,1.638380065560340881e-02,5.996086001396179199e+01,3.339163061670918609e+01
1.180000000000000000e+02,1.635380834341049194e-02,5.961042940616607666e+01,3.340077385437791690e+01
1.190000000000000000e+02,1.629454642534255981e-02,5.947945415973663330e+01,3.339937676766213315e+01
1.200000000000000000e+02,1.670450717210769653e-02,5.887656807899475098e+01,3.345724980481016075e+01
1.210000000000000000e+02,1.621906645596027374e-02,5.922639369964599609e+01,3.342366852150043144e+01
1.220000000000000000e+02,1.615827158093452454e-02,5.935225784778594971e+01,3.344055059553198817e+01
1.230000000000000000e+02,1.606443338096141815e-02,5.907473564147949219e+01,3.343385774555846979e+01
1.240000000000000000e+02,1.595651730895042419e-02,5.872575342655181885e+01,3.343605212259896575e+01
1.250000000000000000e+02,1.584086567163467407e-02,5.775983035564422607e+01,3.339699952586826726e+01
1.260000000000000000e+02,1.576983183622360229e-02,5.762906372547149658e+01,3.332327577189772683e+01
1.270000000000000000e+02,1.572798751294612885e-02,5.764937400817871094e+01,3.333424034251007129e+01
1.280000000000000000e+02,1.570024527609348297e-02,5.752697885036468506e+01,3.331342301898589398e+01
1.290000000000000000e+02,1.566440798342227936e-02,5.748536288738250732e+01,3.326688028195696489e+01
1.300000000000000000e+02,1.556655764579772949e-02,5.731867849826812744e+01,3.319674799174270419e+01
1.310000000000000000e+02,1.535942684859037399e-02,5.682420134544372559e+01,3.302601082881182037e+01
1.320000000000000000e+02,1.507596578449010849e-02,5.586243569850921631e+01,3.291420731859852822e+01
1.330000000000000000e+02,1.489436440169811249e-02,5.488353967666625977e+01,3.290483732863560817e+01
1.340000000000000000e+02,1.475392095744609833e-02,5.483297109603881836e+01,3.297585468425620547e+01
1.350000000000000000e+02,1.466283947229385376e-02,5.450561642646789551e+01,3.296166437939432825e+01
1.360000000000000000e+02,1.461979374289512634e-02,5.403179228305816650e+01,3.296444392364562503e+01
1.370000000000000000e+02,1.458834577351808548e-02,5.389347970485687256e+01,3.301968370834505606e+01
1.380000000000000000e+02,1.455142907798290253e-02,5.373541116714477539e+01,3.299425819303583296e+01
1.390000000000000000e+02,1.441659778356552124e-02,5.307776331901550293e+01,3.292019065332895167e+01
1.400000000000000000e+02,1.392471045255661011e-02,5.024901926517486572e+01,3.238198311119654704e+01
1.410000000000000000e+02,1.439716480672359467e-02,4.695611000061035156e+01,3.161069615441275360e+01
1.420000000000000000e+02,1.367638912051916122e-02,4.898343682289123535e+01,3.208657607400492395e+01
1.430000000000000000e+02,1.331958360970020294e-02,4.953512549400329590e+01,3.190206553784986099e+01
1.440000000000000000e+02,1.323246303945779800e-02,4.880276918411254883e+01,3.153858892486204368e+01
1.450000000000000000e+02,1.305682025849819183e-02,4.993704557418823242e+01,3.157070729014477450e+01
1.460000000000000000e+02,1.303844340145587921e-02,5.005533397197723389e+01,3.152422306983692479e+01
1.470000000000000000e+02,1.294188760221004486e-02,4.944629669189453125e+01,3.151227102955635573e+01
1.480000000000000000e+02,1.285979896783828735e-02,4.921755790710449219e+01,3.146447018302421128e+01
1.490000000000000000e+02,1.269953139126300812e-02,4.875068664550781250e+01,3.134802922266534253e+01
1.500000000000000000e+02,1.252660155296325684e-02,4.753246903419494629e+01,3.106296501592459336e+01
1.510000000000000000e+02,1.241625566035509109e-02,4.795309305191040039e+01,3.116151448881328534e+01
1.520000000000000000e+02,1.219195313751697540e-02,4.835306406021118164e+01,3.112227171273907445e+01
1.530000000000000000e+02,1.206100918352603912e-02,4.862524271011352539e+01,3.108186591683340083e+01
1.540000000000000000e+02,1.198805496096611023e-02,4.849877953529357910e+01,3.111383067572329608e+01
1.550000000000000000e+02,1.195019856095314026e-02,4.886279702186584473e+01,3.117789185612552316e+01
1.560000000000000000e+02,1.190357934683561325e-02,4.885460138320922852e+01,3.115747683505877319e+01
1.570000000000000000e+02,1.183031406253576279e-02,4.846789836883544922e+01,3.109754108349267909e+01
1.580000000000000000e+02,1.175726298242807388e-02,4.829895496368408203e+01,3.107946673126912884e+01
1.590000000000000000e+02,1.164396107196807861e-02,4.771714806556701660e+01,3.090473580212453797e+01
1.600000000000000000e+02,1.154848933219909668e-02,4.784792065620422363e+01,3.085012507217671995e+01
1.610000000000000000e+02,1.148196868598461151e-02,4.783664941787719727e+01,3.063847740662084362e+01
1.620000000000000000e+02,1.143929176032543182e-02,4.790374636650085449e+01,3.048633393181309614e+01
1.630000000000000000e+02,1.139860413968563080e-02,4.794381260871887207e+01,3.039365807480280424e+01
1.640000000000000000e+02,1.128251012414693832e-02,4.784243106842041016e+01,3.011563050377191786e+01
1.650000000000000000e+02,1.110618840903043747e-02,4.772949814796447754e+01,2.971403024700054374e+01
