Iter,Loss,ErrorLambda1,ErrorLambda2
6.400000000000000000e+01,2.631543576717376709e-02,8.115966916084289551e+01,2.901229772781034910e+01
6.500000000000000000e+01,2.616424672305583954e-02,8.050016611814498901e+01,2.908977386652014019e+01
6.600000000000000000e+01,2.588182128965854645e-02,8.013683706521987915e+01,2.902235528924596153e+01
6.700000000000000000e+01,2.565460465848445892e-02,8.022849857807159424e+01,2.891812969441251369e+01
6.800000000000000000e+01,2.551952563226222992e-02,8.069999068975448608e+01,2.885506329826865013e+01
6.900000000000000000e+01,2.545754984021186829e-02,8.119966238737106323e+01,2.880840352779756586e+01
7.000000000000000000e+01,2.537666261196136475e-02,8.112006783485412598e+01,2.884526174748776484e+01
7.100000000000000000e+01,2.505957894027233124e-02,8.086914569139480591e+01,2.892457384832144029e+01
7.200000000000000000e+01,2.466054819524288177e-02,8.063526302576065063e+01,2.900096011310112232e+01
7.300000000000000000e+01,2.437313273549079895e-02,8.077828586101531982e+01,2.893152270894968225e+01
7.400000000000000000e+01,2.426352910697460175e-02,8.064572960138320923e+01,2.886850020034662379e+01
7.500000000000000000e+01,2.422894164919853210e-02,8.044043034315109253e+01,2.887552220687621229e+01
7.600000000000000000e+01,2.412885054945945740e-02,8.032116293907165527e+01,2.886768828084164085e+01
7.700000000000000000e+01,2.399891242384910583e-02,8.005985915660858154e+01,2.884977484960105798e+01
7.800000000000000000e+01,2.367602661252021790e-02,7.921309620141983032e+01,2.874998921097954963e+01
7.900000000000000000e+01,2.313152328133583069e-02,7.766994833946228027e+01,2.843906061352148740e+01
8.000000000000000000e+01,2.268591709434986115e-02,7.621284127235412598e+01,2.812673492934764141e+01
8.100000000000000000e+01,2.211183868348598480e-02,7.615428715944290161e+01,2.806916910498528495e+01
8.200000000000000000e+01,2.186205051839351654e-02,7.607380598783493042e+01,2.793439046715800345e+01
8.300000000000000000e+01,2.179713174700737000e-02,7.538184523582458496e+01,2.793270079683681928e+01
8.400000000000000000e+01,2.163841761648654938e-02,7.526200562715530396e+01,2.783355884214719467e+01
8.500000000000000000e+01,2.147635817527770996e-02,7.441370189189910889e+01,2.743674232732410445e+01
8.600000000000000000e+01,2.115406095981597900e-02,7.397450208663940430e+01,2.752233034649359666e+01
8.700000000000000000e+01,2.088296599686145782e-02,7.264033555984497070e+01,2.742261785377344552e+01
8.800000000000000000e+01,2.044584788382053375e-02,6.975239813327789307e+01,2.708027309168560848e+01
8.900000000000000000e+01,2.003904059529304504e-02,6.888376176357269287e+01,2.707940265545954617e+01
9.000000000000000000e+01,2.203148603439331055e-02,6.172375380992889404e+01,2.689247830455992982e+01
9.100000000000000000e+01,1.935541257262229919e-02,6.559102237224578857e+01,2.699350010891424745e+01
9.200000000000000000e+01,1.946710422635078430e-02,6.481200158596038818e+01,2.729539518755559868e+01
9.300000000000000000e+01,1.901975460350513458e-02,6.521368026733398438e+01,2.713987968669562179e+01
9.400000000000000000e+01,1.862884312868118286e-02,6.448255181312561035e+01,2.710939978960312757e+01
9.500000000000000000e+01,1.848036795854568481e-02,6.150801181793212891e+01,2.703345240023154972e+01
9.600000000000000000e+01,1.836192607879638672e-02,6.169497668743133545e+01,2.681930314484950983e+01
9.700000000000000000e+01,1.798990741372108459e-02,6.338818669319152832e+01,2.694380478353713926e+01
9.800000000000000000e+01,1.773123070597648621e-02,6.247709989547729492e+01,2.687926815477614184e+01
9.900000000000000000e+01,1.734781451523303986e-02,6.077372133731842041e+01,2.674647908546557318e+01
1.000000000000000000e+02,1.691622659564018250e-02,6.079156696796417236e+01,2.659157069558680320e+01
1.010000000000000000e+02,1.665570586919784546e-02,6.239356398582458496e+01,2.662534215824003780e+01
1.020000000000000000e+02,1.648547314107418060e-02,6.148201823234558105e+01,2.658789145674890264e+01
1.030000000000000000e+02,1.638147234916687012e-02,6.062880158424377441e+01,2.657323301811838689e+01
1.040000000000000000e+02,1.632565259933471680e-02,6.013213694095611572e+01,2.664878541962267633e+01
1.050000000000000000e+02,1.624578051269054413e-02,5.989417135715484619e+01,2.665255974813233308e+01
1.060000000000000000e+02,1.615986600518226624e-02,5.962135493755340576e+01,2.663594831393577067e+01
1.070000000000000000e+02,1.596743427217006683e-02,5.867689549922943115e+01,2.657764371596978492e+01
1.080000000000000000e+02,1.577657833695411682e-02,5.822434127330780029e+01,2.648119353044983271e+01
1.090000000000000000e+02,1.565049216151237488e-02,5.753326117992401123e+01,2.632509286237905854e+01
1.100000000000000000e+02,1.551759801805019379e-02,5.792921781539916992e+01,2.633840541642473809e+01
1.110000000000000000e+02,1.542715821415185928e-02,5.810604989528656006e+01,2.631684200470679258e+01
