Iter,Loss,ErrorLambda1,ErrorLambda2
6.600000000000000000e+01,2.564019709825515747e-02,8.173635452985763550e+01,2.932455026608284498e+01
6.700000000000000000e+01,2.523012459278106689e-02,7.983899414539337158e+01,2.978515000688302550e+01
6.800000000000000000e+01,2.509782463312149048e-02,7.916685342788696289e+01,2.995309299638235245e+01
6.900000000000000000e+01,2.496696077287197113e-02,7.920660674571990967e+01,2.999579557359041004e+01
7.000000000000000000e+01,2.486406080424785614e-02,7.934720963239669800e+01,2.997860628677318573e+01
7.100000000000000000e+01,2.479656599462032318e-02,7.925545126199722290e+01,3.001962650825019807e+01
7.200000000000000000e+01,2.469950541853904724e-02,7.974720895290374756e+01,2.986090721691109806e+01
7.300000000000000000e+01,2.460791356861591339e-02,7.942262887954711914e+01,2.989374241202705917e+01
7.400000000000000000e+01,2.445825934410095215e-02,7.884642183780670166e+01,2.994199676314757141e+01
7.500000000000000000e+01,2.421521209180355072e-02,7.898918539285659790e+01,2.990340498559537608e+01
7.600000000000000000e+01,2.400176599621772766e-02,7.933195382356643677e+01,2.995231764982804279e+01
7.700000000000000000e+01,2.376988343894481659e-02,8.009238988161087036e+01,3.000984690123972243e+01
7.800000000000000000e+01,2.350607886910438538e-02,8.071811646223068237e+01,3.013331718271831505e+01
7.900000000000000000e+01,2.327332459390163422e-02,8.124600350856781006e+01,3.019785381147931247e+01
8.000000000000000000e+01,2.311063930392265320e-02,8.055678755044937134e+01,3.035395447955008663e+01
8.100000000000000000e+01,2.289387583732604980e-02,7.966325879096984863e+01,3.040315241279801839e+01
8.200000000000000000e+01,2.245257608592510223e-02,7.670892775058746338e+01,3.042587884434742662e+01
8.300000000000000000e+01,2.213850431144237518e-02,7.544539123773574829e+01,3.031116412726040821e+01
8.400000000000000000e+01,2.186087518930435181e-02,7.456574738025665283e+01,2.960951938315183796e+01
8.500000000000000000e+01,2.151796780526638031e-02,7.634507566690444946e+01,2.970129554557552964e+01
8.600000000000000000e+01,2.136009745299816132e-02,7.645158916711807251e+01,2.975704735158440428e+01
8.700000000000000000e+01,2.125098370015621185e-02,7.641025930643081665e+01,2.969811369886680552e+01
8.800000000000000000e+01,2.114998921751976013e-02,7.676928341388702393e+01,2.954588244897744076e+01
8.900000000000000000e+01,2.099934220314025879e-02,7.654529362916946411e+01,2.943674876416342201e+01
9.000000000000000000e+01,2.052325010299682617e-02,7.551160752773284912e+01,2.920727544244858720e+01
9.100000000000000000e+01,1.999173127114772797e-02,7.359074354171752930e+01,2.911134459282822107e+01
9.200000000000000000e+01,1.950398646295070648e-02,7.124684154987335205e+01,2.919022513284392772e+01
9.300000000000000000e+01,1.933447457849979401e-02,6.983751058578491211e+01,2.935366233482009690e+01
9.400000000000000000e+01,1.903305947780609131e-02,6.946247518062591553e+01,2.911147625545065409e+01
9.500000000000000000e+01,1.882640458643436432e-02,6.922674179077148438e+01,2.913168646799362449e+01
9.600000000000000000e+01,1.840301044285297394e-02,6.819342970848083496e+01,2.902936266659527575e+01
9.700000000000000000e+01,1.793984696269035339e-02,6.614040732383728027e+01,2.892020703801085446e+01
9.800000000000000000e+01,1.763961464166641235e-02,6.730354726314544678e+01,2.880364904420982342e+01
9.900000000000000000e+01,1.750276423990726471e-02,6.637935340404510498e+01,2.880103773553163293e+01
1.000000000000000000e+02,1.726077310740947723e-02,6.677773296833038330e+01,2.882133572315622061e+01
1.010000000000000000e+02,1.711670681834220886e-02,6.570826470851898193e+01,2.872956687532266429e+01
1.020000000000000000e+02,1.695188507437705994e-02,6.482626199722290039e+01,2.870417793296412157e+01
1.030000000000000000e+02,1.657529734075069427e-02,6.261597275733947754e+01,2.854370313999262621e+01
1.040000000000000000e+02,1.634326949715614319e-02,6.207579374313354492e+01,2.835349453812239773e+01
1.050000000000000000e+02,1.618147455155849457e-02,6.258930563926696777e+01,2.821705548833447352e+01
1.060000000000000000e+02,1.605302095413208008e-02,6.271105706691741943e+01,2.811010886597081893e+01
1.070000000000000000e+02,1.596607454121112823e-02,6.299588084220886230e+01,2.810949444039947309e+01
1.080000000000000000e+02,1.588548906147480011e-02,6.286069750785827637e+01,2.800164080885907936e+01
1.090000000000000000e+02,1.581253111362457275e-02,6.249068677425384521e+01,2.798968876857850674e+01
1.100000000000000000e+02,1.565206423401832581e-02,6.152772903442382812e+01,2.793397353552030538e+01
1.110000000000000000e+02,1.542539056390523911e-02,6.065556108951568604e+01,2.777613930958753841e+01
1.120000000000000000e+02,1.500707492232322693e-02,5.841933488845825195e+01,2.730791045127656247e+01
1.130000000000000000e+02,1.461825147271156311e-02,5.729241073131561279e+01,2.680255273344038613e+01
1.140000000000000000e+02,1.443044934421777725e-02,5.744194388389587402e+01,2.645756008972368534e+01
1.150000000000000000e+02,1.428918726742267609e-02,5.853161811828613281e+01,2.641392124497835070e+01
1.160000000000000000e+02,1.424007397145032883e-02,5.857634842395782471e+01,2.645573875678007880e+01
1.170000000000000000e+02,1.418478507548570633e-02,5.830197632312774658e+01,2.638016441150537972e+01
1.180000000000000000e+02,1.398075930774211884e-02,5.785374045372009277e+01,2.614729711996790940e+01
1.190000000000000000e+02,1.384937111288309097e-02,5.757214426994323730e+01,2.598388917635228168e+01
1.200000000000000000e+02,1.378826610743999481e-02,5.745602548122406006e+01,2.582762027270840122e+01
1.210000000000000000e+02,1.372117735445499420e-02,5.741077065467834473e+01,2.573667065896996320e+01
1.220000000000000000e+02,1.356412190943956375e-02,5.724283456802368164e+01,2.545586354368778004e+01
1.230000000000000000e+02,1.331076212227344513e-02,5.636271834373474121e+01,2.472432406969751284e+01
1.240000000000000000e+02,1.314541883766651154e-02,5.565121769905090332e+01,2.404860954761747038e+01
1.250000000000000000e+02,1.310783065855503082e-02,5.500635206699371338e+01,2.367812555728033530e+01
1.260000000000000000e+02,1.304513402283191681e-02,5.508169233798980713e+01,2.365107620296115343e+01
1.270000000000000000e+02,1.301639899611473083e-02,5.510455369949340820e+01,2.378969500060930642e+01
1.280000000000000000e+02,1.298534683883190155e-02,5.475260317325592041e+01,2.379591240222404380e+01
1.290000000000000000e+02,1.289503835141658783e-02,5.394963324069976807e+01,2.365886624145491268e+01
1.300000000000000000e+02,1.275931205600500107e-02,5.247474610805511475e+01,2.324319271326382363e+01
1.310000000000000000e+02,1.249807048588991165e-02,5.121113955974578857e+01,2.262483920702235807e+01
1.320000000000000000e+02,1.238634251058101654e-02,4.984689950942993164e+01,2.116028271183455089e+01
1.330000000000000000e+02,1.188878994435071945e-02,5.157777070999145508e+01,2.055530027635984425e+01
1.340000000000000000e+02,1.178472861647605896e-02,5.240881741046905518e+01,2.086521214578914396e+01
1.350000000000000000e+02,1.173014845699071884e-02,5.203744471073150635e+01,2.051586000635198914e+01
1.360000000000000000e+02,1.170884072780609131e-02,5.176804661750793457e+01,2.014409596274123615e+01
1.370000000000000000e+02,1.169761177152395248e-02,5.187776088714599609e+01,2.008870257164896955e+01
1.380000000000000000e+02,1.168128661811351776e-02,5.185602009296417236e+01,1.991059230186201745e+01
1.390000000000000000e+02,1.165335346013307571e-02,5.193581879138946533e+01,1.980041994524883009e+01
1.400000000000000000e+02,1.154533121734857559e-02,5.203782320022583008e+01,1.944759337549755784e+01
1.410000000000000000e+02,1.138039771467447281e-02,5.172682106494903564e+01,1.872498501606211008e+01
1.420000000000000000e+02,1.121029816567897797e-02,5.101808905601501465e+01,1.814675935130118489e+01
1.430000000000000000e+02,1.109051518142223358e-02,5.034817457199096680e+01,1.772359568281186881e+01
1.440000000000000000e+02,1.106154918670654297e-02,4.963980317115783691e+01,1.772391021018767532e+01
1.450000000000000000e+02,1.103468332439661026e-02,4.995030760765075684e+01,1.794339180177811954e+01
1.460000000000000000e+02,1.102358102798461914e-02,4.995023012161254883e+01,1.778794944681949275e+01
1.470000000000000000e+02,1.101058814674615860e-02,4.993759989738464355e+01,1.778320959241202104e+01
1.480000000000000000e+02,1.090137381106615067e-02,4.960415363311767578e+01,1.741795553402140229e+01
