Iter,Loss,ErrorLambda1,ErrorLambda2
3.500000000000000000e+01,3.479615598917007446e-02,9.306525513529777527e+01,2.568767753424581102e+01
3.600000000000000000e+01,3.448318317532539368e-02,9.363344013690948486e+01,2.562174381876903340e+01
3.700000000000000000e+01,3.415061160922050476e-02,9.344645142555236816e+01,2.561031842897818578e+01
3.800000000000000000e+01,3.403182700276374817e-02,9.326439350843429565e+01,2.566389780171696700e+01
3.900000000000000000e+01,3.380064293742179871e-02,9.318204075098037720e+01,2.566673586268934315e+01
4.000000000000000000e+01,3.291431814432144165e-02,9.266894161701202393e+01,2.563284005200380733e+01
4.100000000000000000e+01,3.243798762559890747e-02,9.255474805831909180e+01,2.561475838519012171e+01
4.200000000000000000e+01,3.217179328203201294e-02,9.288700371980667114e+01,2.555524687985186105e+01
4.300000000000000000e+01,3.200567886233329773e-02,9.311815425753593445e+01,2.552957998306818510e+01
4.400000000000000000e+01,3.176736459136009216e-02,9.329673796892166138e+01,2.550723391020580166e+01
4.500000000000000000e+01,3.071368485689163208e-02,9.320037439465522766e+01,2.541646716122073357e+01
4.600000000000000000e+01,2.991096861660480499e-02,9.234535172581672668e+01,2.546385107611518350e+01
4.700000000000000000e+01,2.922086417675018311e-02,9.070850610733032227e+01,2.554353622104574129e+01
4.800000000000000000e+01,2.892487868666648865e-02,8.807076588273048401e+01,2.574856418252945289e+01
4.900000000000000000e+01,2.858667075634002686e-02,8.744899928569793701e+01,2.571492438249864421e+01
5.000000000000000000e+01,2.841117046773433685e-02,8.769191876053810120e+01,2.572242915197713842e+01
5.100000000000000000e+01,2.821707539260387421e-02,8.736938685178756714e+01,2.573868948584722105e+01
5.200000000000000000e+01,2.800397574901580811e-02,8.644910156726837158e+01,2.579398047267759253e+01
5.300000000000000000e+01,2.788309007883071899e-02,8.592764586210250854e+01,2.581089180506968717e+01
5.400000000000000000e+01,2.778764627873897552e-02,8.557169139385223389e+01,2.582925142630850246e+01
5.500000000000000000e+01,2.749207243323326111e-02,8.436699807643890381e+01,2.594371744733092555e+01
5.600000000000000000e+01,2.711630985140800476e-02,8.325608223676681519e+01,2.608380647759621596e+01
5.700000000000000000e+01,2.650499716401100159e-02,8.214914053678512573e+01,2.632730918318996061e+01
5.800000000000000000e+01,2.562040090560913086e-02,8.252778947353363037e+01,2.657890182547300029e+01
5.900000000000000000e+01,2.527989074587821960e-02,8.359638303518295288e+01,2.664531830389869071e+01
6.000000000000000000e+01,2.508801035583019257e-02,8.317969143390655518e+01,2.669588406550186122e+01
6.100000000000000000e+01,2.487340569496154785e-02,8.270419090986251831e+01,2.676132038884946240e+01
6.200000000000000000e+01,2.451690286397933960e-02,8.206902295351028442e+01,2.689453370438786450e+01
6.300000000000000000e+01,2.415670827031135559e-02,8.144728392362594604e+01,2.705456962195126280e+01
6.400000000000000000e+01,2.394695393741130829e-02,8.222681879997253418e+01,2.706921343140150782e+01
6.500000000000000000e+01,2.383534796535968781e-02,8.242766708135604858e+01,2.721699741048880128e+01
6.600000000000000000e+01,2.377978712320327759e-02,8.301267772912979126e+01,2.713088274082958762e+01
6.700000000000000000e+01,2.372752688825130463e-02,8.265925049781799316e+01,2.714154741324640341e+01
6.800000000000000000e+01,2.371134236454963684e-02,8.269414305686950684e+01,2.716992802297015075e+01
6.900000000000000000e+01,2.370326966047286987e-02,8.278878182172775269e+01,2.717499703393369970e+01
7.000000000000000000e+01,2.368402108550071716e-02,8.290890306234359741e+01,2.717652578327191648e+01
7.100000000000000000e+01,2.363242954015731812e-02,8.297822624444961548e+01,2.717545053852206749e+01
7.200000000000000000e+01,2.352503500878810883e-02,8.279503583908081055e+01,2.714728205191223154e+01
7.300000000000000000e+01,2.332457341253757477e-02,8.205809891223907471e+01,2.705363335441398220e+01
