Lambda1
0.000000000000000000e+00
-1.649215619181632064e-06
-6.203763769008219242e-05
-3.089425736106932163e-04
-7.845375221222639084e-04
-4.271239042282104492e-03
-1.997882872819900513e-02
-2.141729742288589478e-02
-2.704256400465965271e-02
-3.044833801686763763e-02
-3.327390179038047791e-02
-3.603220731019973755e-02
-4.225879535079002380e-02
-5.042367801070213318e-02
-3.530276939272880554e-02
-4.503352940082550049e-02
-3.710466623306274414e-02
-1.642596721649169922e-02
3.738745301961898804e-02
6.391570717096328735e-02
4.995480179786682129e-02
6.319814920425415039e-02
5.299194902181625366e-02
6.274657696485519409e-02
6.431453675031661987e-02
6.351227313280105591e-02
7.758505642414093018e-02
7.172077894210815430e-02
7.503587752580642700e-02
6.184124946594238281e-02
5.260286480188369751e-02
3.700222820043563843e-02
2.962215989828109741e-02
2.149724774062633514e-02
1.328655425459146500e-02
6.478849798440933228e-03
-7.631358690559864044e-03
-1.176548004150390625e-02
-6.619331426918506622e-03
7.861404679715633392e-03
6.099300226196646690e-04
-7.448570337146520615e-03
-2.745840931311249733e-03
-1.905984245240688324e-04
-3.564444137737154961e-03
-6.757958326488733292e-03
-7.867179811000823975e-03
-5.192596465349197388e-03
-6.488785147666931152e-03
1.119792927056550980e-03
2.726157545112073421e-04
-2.717694733291864395e-03
-1.705819624476134777e-03
-1.015416346490383148e-03
3.896936541423201561e-04
1.688883174210786819e-03
6.206671241670846939e-03
1.298187393695116043e-02
1.761740259826183319e-02
1.593051105737686157e-02
1.511832326650619507e-02
1.558574754744768143e-02
1.481133326888084412e-02
1.315664686262607574e-02
1.040559168905019760e-02
9.875356219708919525e-03
9.883929975330829620e-03
9.528025053441524506e-03
9.336276911199092865e-03
8.531998842954635620e-03
7.597785908728837967e-03
6.334686651825904846e-03
5.401291884481906891e-03
5.833729170262813568e-03
6.213676184415817261e-03
6.294493563473224640e-03
6.207581609487533569e-03
5.737242754548788071e-03
4.238748922944068909e-03
1.916448585689067841e-03
-5.632240790873765945e-04
-1.272568944841623306e-03
-6.952981930226087570e-04
-5.926492158323526382e-04
-1.058429770637303591e-04
-7.590327877551317215e-04
-1.367426826618611813e-03
-1.588694751262664795e-03
-1.639375463128089905e-03
-1.671233447268605232e-03
-1.621264265850186348e-03
-1.679533626884222031e-03
-1.618372742086648941e-03
-1.482279505580663681e-03
-1.337257563136518002e-03
-1.410614349879324436e-03
-1.376018044538795948e-03
-1.110410201363265514e-03
-1.294430810958147049e-03
-1.728463685140013695e-03
-1.457576290704309940e-03
-1.778079546056687832e-03
-1.671614823862910271e-03
-1.311369938775897026e-03
-1.128630479797720909e-03
-1.062094932422041893e-03
-9.935974376276135445e-04
-1.003805780783295631e-03
-1.160863204859197140e-03
-1.420394633896648884e-03
-1.672491896897554398e-03
-1.935315551236271858e-03
-2.303144428879022598e-03
-2.744377590715885162e-03
-3.176496131345629692e-03
-3.241403494030237198e-03
-2.171789528802037239e-03
-1.194015960209071636e-03
-1.666896161623299122e-03
-1.249951077625155449e-03
-1.241176156327128410e-03
-1.244527986273169518e-03
-1.233605667948722839e-03
-1.223852392286062241e-03
-1.360827474854886532e-03
-1.243309583514928818e-03
-1.365685253404080868e-03
-1.383489230647683144e-03
-1.377753796987235546e-03
-6.900614243932068348e-04
-1.052114879712462425e-03
1.418890897184610367e-04
-5.239541060291230679e-04
-2.251960395369678736e-04
-2.139044663636013865e-04
-2.178624563384801149e-04
1.029343402478843927e-04
1.048914971761405468e-03
6.814818480052053928e-04
8.259647293016314507e-04
7.168576703406870365e-04
1.004617195576429367e-03
5.617921124212443829e-04
2.155748079530894756e-04
3.695717314258217812e-04
1.598632079549133778e-04
5.228364607319235802e-04
2.090413181576877832e-04
-2.039133687503635883e-04
-1.423518406227231026e-04
-1.679141132626682520e-04
-4.290480574127286673e-04
-4.058585036545991898e-04
-5.274539580568671227e-04
-7.696363609284162521e-04
-8.361628279089927673e-04
-9.107511723414063454e-04
-8.463175618089735508e-04
-8.151234942488372326e-04
-8.073518984019756317e-04
-9.528688970021903515e-04
-1.189619884826242924e-03
-1.437474973499774933e-03
-1.674797385931015015e-03
-1.852560322731733322e-03
-1.866730162873864174e-03
-1.757288817316293716e-03
-1.614215201698243618e-03
-1.521601690910756588e-03
-1.553963054902851582e-03
-1.580385607667267323e-03
-1.633742242120206356e-03
-1.674406696110963821e-03
-1.730533665977418423e-03
-1.768864924088120461e-03
-1.749518327414989471e-03
-1.487983274273574352e-03
-1.611779094673693180e-03
-1.383469556458294392e-03
-1.275479677133262157e-03
-1.107497140765190125e-03
-8.959602564573287964e-04
-9.994258871302008629e-04
-9.952528635039925575e-04
-8.754674345254898071e-04
-9.215504396706819534e-04
-9.425262105651199818e-04
-5.074767395853996277e-04
-1.377092266920953989e-04
-3.568115935195237398e-04
-3.612898290157318115e-04
-2.450242463964968920e-04
-3.139414475299417973e-04
