Iter,Loss,ErrorLambda1,ErrorLambda2
4.700000000000000000e+01,6.145798950195312500e+02,4.521107077598571777e+01,2.326487315842392789e+01
4.800000000000000000e+01,5.906268310546875000e+02,4.469091296195983887e+01,2.142640944471581577e+01
4.900000000000000000e+01,5.797348632812500000e+02,4.211368560791015625e+01,2.391743700272673223e+01
5.000000000000000000e+01,5.782005004882812500e+02,3.900062441825866699e+01,2.258253893227172426e+01
5.100000000000000000e+01,5.698666992187500000e+02,4.047265052795410156e+01,2.321198867174796732e+01
5.200000000000000000e+01,5.573411865234375000e+02,3.743911385536193848e+01,2.601717787605661414e+01
5.300000000000000000e+01,5.453601684570312500e+02,3.307200670242309570e+01,2.860453858614531697e+01
5.400000000000000000e+01,5.361724853515625000e+02,3.308658599853515625e+01,2.821082345753946186e+01
5.500000000000000000e+01,5.309866943359375000e+02,3.358595967292785645e+01,2.789794917910549188e+01
5.600000000000000000e+01,5.279027099609375000e+02,3.331790566444396973e+01,2.812104417822262192e+01
5.700000000000000000e+01,5.247118530273437500e+02,3.226852416992187500e+01,2.882375685249090225e+01
5.800000000000000000e+01,5.143276367187500000e+02,2.929731011390686035e+01,3.019582767001192281e+01
5.900000000000000000e+01,5.029709472656250000e+02,2.423138618469238281e+01,3.377760690895222240e+01
6.000000000000000000e+01,4.906883239746093750e+02,2.135894298553466797e+01,3.453810484528690949e+01
6.100000000000000000e+01,4.830198974609375000e+02,1.950800418853759766e+01,3.572681351730405197e+01
6.200000000000000000e+01,4.844862060546875000e+02,1.583269238471984863e+01,3.824061870899532067e+01
6.300000000000000000e+01,4.777673950195312500e+02,1.767830848693847656e+01,3.697251747565302082e+01
6.400000000000000000e+01,4.722756042480468750e+02,1.592635512351989746e+01,3.770383019734910590e+01
6.500000000000000000e+01,4.673028564453125000e+02,1.542069911956787109e+01,3.820250969439203459e+01
6.600000000000000000e+01,4.599989318847656250e+02,1.189854145050048828e+01,4.057253930238998407e+01
6.700000000000000000e+01,4.555682983398437500e+02,1.297727227210998535e+01,4.028674363663574098e+01
6.800000000000000000e+01,4.472778015136718750e+02,1.201272606849670410e+01,4.100891312066308814e+01
6.900000000000000000e+01,4.314657897949218750e+02,6.939589977264404297e+00,4.422287088007539069e+01
7.000000000000000000e+01,4.188208618164062500e+02,4.855167865753173828e+00,4.589134351904638720e+01
7.100000000000000000e+01,4.074108581542968750e+02,1.534485816955566406e+00,4.812287867742847425e+01
7.200000000000000000e+01,4.064454956054687500e+02,2.712714672088623047e+00,5.196182427633468137e+01
7.300000000000000000e+01,3.957305908203125000e+02,7.802963256835937500e-01,5.020294330329523547e+01
7.400000000000000000e+01,3.927490844726562500e+02,1.541644334793090820e+00,4.844770499614301684e+01
7.500000000000000000e+01,3.910795288085937500e+02,1.168406009674072266e+00,4.902190032173956524e+01
7.600000000000000000e+01,3.886446228027343750e+02,1.226657629013061523e+00,4.924540493790425444e+01
7.700000000000000000e+01,3.846410522460937500e+02,1.793175935745239258e+00,4.939251597469912269e+01
