Iter,Loss,ErrorLambda1,ErrorLambda2
3.700000000000000000e+01,8.026043701171875000e+02,6.405415236949920654e+01,1.479591635210271683e+01
3.800000000000000000e+01,7.792657470703125000e+02,6.184760928153991699e+01,1.243383770358150109e+01
3.900000000000000000e+01,7.563196411132812500e+02,5.939151942729949951e+01,8.758497542224569443e+00
4.000000000000000000e+01,7.445261230468750000e+02,5.820628404617309570e+01,7.361198703327977100e+00
4.100000000000000000e+01,7.348029174804687500e+02,5.838483273983001709e+01,6.848072890768445831e+00
4.200000000000000000e+01,7.291151123046875000e+02,5.852393209934234619e+01,6.216670155726160552e+00
4.300000000000000000e+01,7.167647094726562500e+02,5.858849287033081055e+01,4.833912722017926100e+00
4.400000000000000000e+01,6.970292358398437500e+02,5.803641676902770996e+01,9.119904126204182448e-01
4.500000000000000000e+01,6.695693969726562500e+02,5.672479569911956787e+01,6.232089311730715231e+00
4.600000000000000000e+01,6.498309326171875000e+02,5.201846361160278320e+01,1.990101750337531783e+01
4.700000000000000000e+01,6.252093505859375000e+02,4.994930028915405273e+01,2.009865041423255505e+01
4.800000000000000000e+01,5.978287353515625000e+02,4.721466302871704102e+01,2.152413236891925052e+01
4.900000000000000000e+01,5.968428344726562500e+02,4.144272208213806152e+01,3.167922654938745808e+01
5.000000000000000000e+01,5.847249145507812500e+02,4.400733113288879395e+01,2.706629490993764264e+01
5.100000000000000000e+01,5.702637939453125000e+02,4.138823747634887695e+01,2.793039670094429994e+01
5.200000000000000000e+01,5.595949096679687500e+02,3.386213183403015137e+01,3.447530177438790844e+01
5.300000000000000000e+01,5.460713500976562500e+02,3.427364230155944824e+01,3.050131421240955376e+01
5.400000000000000000e+01,5.367531738281250000e+02,3.451084494590759277e+01,3.187979261088881699e+01
5.500000000000000000e+01,5.254074707031250000e+02,3.279038071632385254e+01,3.423128704748471307e+01
5.600000000000000000e+01,5.138453979492187500e+02,2.947113513946533203e+01,3.711412794066638554e+01
5.700000000000000000e+01,5.057371826171875000e+02,2.647481560707092285e+01,3.835937839442698305e+01
5.800000000000000000e+01,4.993815002441406250e+02,2.234721183776855469e+01,4.000927197445511041e+01
5.900000000000000000e+01,4.876310729980468750e+02,2.082838416099548340e+01,4.098862244762862872e+01
6.000000000000000000e+01,4.815662841796875000e+02,1.825662851333618164e+01,4.284562133273880136e+01
6.100000000000000000e+01,4.745510864257812500e+02,1.517208814620971680e+01,4.461001750674002864e+01
6.200000000000000000e+01,4.687804260253906250e+02,8.937984704971313477e+00,4.818837351749715481e+01
6.300000000000000000e+01,4.650029602050781250e+02,6.915003061294555664e+00,4.887034201414261503e+01
6.400000000000000000e+01,4.579649353027343750e+02,7.280009984970092773e+00,5.044429551938929279e+01
6.500000000000000000e+01,4.449720458984375000e+02,8.994001150131225586e+00,4.881775011107205131e+01
6.600000000000000000e+01,4.398613891601562500e+02,6.618666648864746094e+00,5.039465871073326753e+01
6.700000000000000000e+01,4.341372070312500000e+02,4.557865858078002930e+00,5.195414395669294549e+01
6.800000000000000000e+01,4.274410400390625000e+02,1.714849472045898438e+00,5.448815204633704923e+01
6.900000000000000000e+01,4.153175659179687500e+02,8.232474327087402344e-01,5.656962107350972246e+01
7.000000000000000000e+01,4.047250976562500000e+02,2.701461315155029297e+00,5.877292191397076238e+01
7.100000000000000000e+01,3.988632812500000000e+02,1.730930805206298828e+00,5.804664163028755297e+01
7.200000000000000000e+01,3.975930175781250000e+02,2.893912792205810547e+00,5.570522669889768252e+01
7.300000000000000000e+01,3.919144897460937500e+02,8.549153804779052734e-01,5.687579518738004936e+01
7.400000000000000000e+01,3.834240722656250000e+02,8.460164070129394531e-01,5.872998526987838375e+01
7.500000000000000000e+01,3.677208557128906250e+02,2.807545661926269531e+00,6.202406704962935180e+01
7.600000000000000000e+01,3.583830261230468750e+02,1.255178451538085938e+00,6.219505290862482383e+01
7.700000000000000000e+01,3.533598022460937500e+02,1.340448856353759766e+00,6.293191008964322464e+01
7.800000000000000000e+01,3.469744873046875000e+02,1.692438125610351562e+00,6.388211923571896023e+01
7.900000000000000000e+01,3.384664916992187500e+02,2.989244461059570312e+00,6.552456656298966209e+01
8.000000000000000000e+01,3.255324096679687500e+02,4.819214344024658203e+00,6.838044587693377707e+01
8.100000000000000000e+01,3.050418701171875000e+02,6.133735179901123047e+00,7.288516546992657652e+01
8.200000000000000000e+01,2.877616577148437500e+02,6.265974044799804688e+00,7.752442963386233998e+01
8.300000000000000000e+01,2.788620605468750000e+02,5.706775188446044922e+00,7.978953876096402098e+01
8.400000000000000000e+01,2.724512329101562500e+02,4.501557350158691406e+00,8.132141874375426482e+01
8.500000000000000000e+01,2.644756774902343750e+02,3.672647476196289062e+00,8.308247946465392886e+01
8.600000000000000000e+01,2.529290924072265625e+02,4.124069213867187500e+00,8.719702419066621246e+01
8.700000000000000000e+01,2.466945037841796875e+02,4.461550712585449219e+00,9.048044129800034341e+01
8.800000000000000000e+01,2.417646331787109375e+02,6.320202350616455078e+00,9.305522091305688548e+01
8.900000000000000000e+01,2.359231567382812500e+02,7.683742046356201172e+00,9.534767197808314165e+01
9.000000000000000000e+01,2.261574401855468750e+02,9.414768218994140625e+00,1.004376758153171352e+02
9.100000000000000000e+01,2.099104919433593750e+02,1.002086400985717773e+01,1.081680272535776766e+02
9.200000000000000000e+01,1.968158721923828125e+02,1.063959598541259766e+01,1.185439927977619732e+02
9.300000000000000000e+01,1.903730773925781250e+02,8.336794376373291016e+00,1.176447370865665789e+02
9.400000000000000000e+01,1.864486083984375000e+02,7.589185237884521484e+00,1.188874274337799193e+02
9.500000000000000000e+01,1.828960266113281250e+02,7.486128807067871094e+00,1.192221869658977766e+02
9.600000000000000000e+01,1.727832031250000000e+02,7.769513130187988281e+00,1.233884604733446793e+02
9.700000000000000000e+01,1.597236633300781250e+02,9.337186813354492188e+00,1.303239061432755648e+02
9.800000000000000000e+01,1.521015625000000000e+02,9.722328186035156250e+00,1.355167531178074682e+02
9.900000000000000000e+01,1.407138366699218750e+02,9.366059303283691406e+00,1.397329706466960886e+02
1.000000000000000000e+02,1.286396484375000000e+02,6.899714469909667969e+00,1.456830386211822201e+02
1.010000000000000000e+02,1.188547439575195312e+02,5.096650123596191406e+00,1.491240851459253349e+02
1.020000000000000000e+02,1.100034179687500000e+02,3.130567073822021484e+00,1.554296422009718981e+02
1.030000000000000000e+02,1.061959381103515625e+02,3.088963031768798828e+00,1.571701635527724932e+02
1.040000000000000000e+02,1.027941894531250000e+02,3.755569458007812500e+00,1.603098489639541526e+02
1.050000000000000000e+02,9.687663269042968750e+01,4.173016548156738281e+00,1.636062128958272126e+02
1.060000000000000000e+02,8.918549346923828125e+01,4.402577877044677734e+00,1.693091940155534303e+02
1.070000000000000000e+02,8.411264038085937500e+01,4.745757579803466797e+00,1.723304415832693905e+02
1.080000000000000000e+02,8.064352416992187500e+01,3.486073017120361328e+00,1.736027413913491557e+02
1.090000000000000000e+02,7.798316955566406250e+01,2.971684932708740234e+00,1.731569317518019204e+02
1.100000000000000000e+02,7.563095092773437500e+01,2.496242523193359375e+00,1.752675713644329107e+02
1.110000000000000000e+02,7.192720794677734375e+01,2.320778369903564453e+00,1.753241570337171993e+02
1.120000000000000000e+02,6.857922363281250000e+01,2.212727069854736328e+00,1.776624852080701089e+02
1.130000000000000000e+02,6.562641143798828125e+01,1.905488967895507812e+00,1.775307640689192397e+02
1.140000000000000000e+02,6.142768096923828125e+01,1.027691364288330078e+00,1.781033501846860929e+02
1.150000000000000000e+02,5.830487823486328125e+01,4.708051681518554688e-01,1.780427268616473100e+02
1.160000000000000000e+02,5.522108459472656250e+01,8.029341697692871094e-02,1.790509699658540228e+02
1.170000000000000000e+02,5.255189514160156250e+01,2.045392990112304688e-01,1.799851894178946736e+02
1.180000000000000000e+02,5.077541732788085938e+01,3.673434257507324219e-02,1.814621807163119627e+02
1.190000000000000000e+02,4.908966064453125000e+01,3.009438514709472656e-01,1.825425164208891147e+02
1.200000000000000000e+02,4.801575088500976562e+01,4.520893096923828125e-01,1.839644727431307558e+02
1.210000000000000000e+02,4.704909515380859375e+01,5.892276763916015625e-01,1.842149535677132803e+02
1.220000000000000000e+02,4.543332672119140625e+01,4.030227661132812500e-01,1.854862585915347211e+02
1.230000000000000000e+02,4.392311477661132812e+01,9.862184524536132812e-02,1.868858322679632806e+02
1.240000000000000000e+02,4.309729766845703125e+01,1.944005489349365234e-01,1.876451159823355397e+02
1.250000000000000000e+02,4.195209503173828125e+01,4.577457904815673828e-01,1.887446451714269244e+02
1.260000000000000000e+02,4.068555450439453125e+01,5.904436111450195312e-01,1.892479182310746353e+02
1.270000000000000000e+02,3.902639770507812500e+01,6.103634834289550781e-01,1.903808312095420661e+02
1.280000000000000000e+02,3.730798339843750000e+01,3.178298473358154297e-01,1.899705412196903467e+02
1.290000000000000000e+02,3.654376602172851562e+01,4.657506942749023438e-01,1.905550647465574912e+02
1.300000000000000000e+02,3.605971527099609375e+01,2.859711647033691406e-01,1.907156931459218185e+02
1.310000000000000000e+02,3.536940002441406250e+01,2.943098545074462891e-01,1.911923996141992461e+02
1.320000000000000000e+02,3.421120834350585938e+01,2.240836620330810547e-01,1.928111476694326143e+02
1.330000000000000000e+02,3.309200286865234375e+01,1.946806907653808594e-01,1.946195191593253924e+02
