Iter,Loss,l1,l2
1.150000000000000000e+02,5.496001686526984713e+02,9.173333740234375000e+01,2.218543090820312500e+02
1.160000000000000000e+02,5.485395821148728146e+02,9.167276763916015625e+01,2.186059265136718750e+02
1.170000000000000000e+02,5.474927388973505913e+02,9.161171722412109375e+01,2.150814971923828125e+02
1.180000000000000000e+02,5.464370182558778879e+02,9.155013275146484375e+01,2.113240051269531250e+02
1.190000000000000000e+02,5.453952121916400984e+02,9.148798370361328125e+01,2.073736419677734375e+02
1.200000000000000000e+02,5.443657253913565910e+02,9.142520141601562500e+01,2.032748718261718750e+02
1.210000000000000000e+02,5.433362671602287719e+02,9.136170959472656250e+01,1.990770263671875000e+02
1.220000000000000000e+02,5.423255811720023303e+02,9.129740905761718750e+01,1.948280792236328125e+02
1.230000000000000000e+02,5.413273502368683694e+02,9.123223114013671875e+01,1.905689544677734375e+02
1.240000000000000000e+02,5.403347084129943596e+02,9.116611480712890625e+01,1.863340759277343750e+02
1.250000000000000000e+02,5.393591891764730235e+02,9.109900665283203125e+01,1.821561279296875000e+02
1.260000000000000000e+02,5.383944747026520190e+02,9.103084564208984375e+01,1.780684051513671875e+02
1.270000000000000000e+02,5.374381905329970550e+02,9.096157836914062500e+01,1.741024169921875000e+02
1.280000000000000000e+02,5.364962603063926281e+02,9.089112854003906250e+01,1.702838287353515625e+02
1.290000000000000000e+02,5.355615889269736272e+02,9.081945037841796875e+01,1.666315002441406250e+02
1.300000000000000000e+02,5.346313603322905692e+02,9.074651336669921875e+01,1.631597900390625000e+02
1.310000000000000000e+02,5.337088702840168253e+02,9.067230987548828125e+01,1.598809051513671875e+02
1.320000000000000000e+02,5.327891466025040472e+02,9.059680938720703125e+01,1.568054504394531250e+02
1.330000000000000000e+02,5.318734225249856991e+02,9.051997375488281250e+01,1.539408874511718750e+02
1.340000000000000000e+02,5.309655264178345533e+02,9.044178009033203125e+01,1.512903747558593750e+02
1.350000000000000000e+02,5.300611157236415920e+02,9.036225128173828125e+01,1.488532562255859375e+02
1.360000000000000000e+02,5.291625981003544439e+02,9.028138732910156250e+01,1.466265411376953125e+02
1.370000000000000000e+02,5.282700996205212505e+02,9.019921112060546875e+01,1.446061401367187500e+02
1.380000000000000000e+02,5.273799841842062506e+02,9.011572265625000000e+01,1.427868652343750000e+02
1.390000000000000000e+02,5.264956355206170429e+02,9.003092956542968750e+01,1.411618957519531250e+02
1.400000000000000000e+02,5.256150103700550744e+02,8.994486999511718750e+01,1.397221984863281250e+02
1.410000000000000000e+02,5.247372168460802868e+02,8.985755157470703125e+01,1.384567718505859375e+02
1.420000000000000000e+02,5.238639770050075413e+02,8.976902770996093750e+01,1.373536834716796875e+02
1.430000000000000000e+02,5.229921872252259618e+02,8.967932128906250000e+01,1.364010314941406250e+02
1.440000000000000000e+02,5.221229961154931516e+02,8.958843994140625000e+01,1.355869598388671875e+02
1.450000000000000000e+02,5.212565976856711814e+02,8.949640655517578125e+01,1.348988342285156250e+02
1.460000000000000000e+02,5.203921058100231676e+02,8.940327453613281250e+01,1.343226470947265625e+02
1.470000000000000000e+02,5.195315137305824464e+02,8.930906677246093750e+01,1.338437500000000000e+02
1.480000000000000000e+02,5.186739645802772429e+02,8.921379852294921875e+01,1.334481201171875000e+02
1.490000000000000000e+02,5.178196663815258489e+02,8.911750030517578125e+01,1.331228332519531250e+02
1.500000000000000000e+02,5.169691145275160125e+02,8.902017211914062500e+01,1.328552551269531250e+02
1.510000000000000000e+02,5.161212279580994391e+02,8.892182922363281250e+01,1.326319274902343750e+02
1.520000000000000000e+02,5.152766811144917938e+02,8.882248687744140625e+01,1.324391174316406250e+02
1.530000000000000000e+02,5.144350597050631677e+02,8.872213745117187500e+01,1.322640228271484375e+02
1.540000000000000000e+02,5.135959880157171256e+02,8.862077331542968750e+01,1.320954132080078125e+02
1.550000000000000000e+02,5.127598251655704189e+02,8.851837158203125000e+01,1.319227752685546875e+02
1.560000000000000000e+02,5.119257969972333058e+02,8.841493988037109375e+01,1.317350616455078125e+02
1.570000000000000000e+02,5.110942846211437995e+02,8.831045532226562500e+01,1.315213012695312500e+02
1.580000000000000000e+02,5.102652322187388449e+02,8.820492553710937500e+01,1.312720642089843750e+02
1.590000000000000000e+02,5.094384475643958581e+02,8.809832000732421875e+01,1.309799652099609375e+02
1.600000000000000000e+02,5.086142517431096053e+02,8.799064636230468750e+01,1.306387329101562500e+02
1.610000000000000000e+02,5.077920208762429866e+02,8.788188934326171875e+01,1.302424621582031250e+02
1.620000000000000000e+02,5.069719058770730840e+02,8.777204895019531250e+01,1.297862548828125000e+02
1.630000000000000000e+02,5.061536673121531180e+02,8.766111755371093750e+01,1.292674713134765625e+02
1.640000000000000000e+02,5.053372334722978962e+02,8.754908752441406250e+01,1.286856842041015625e+02
1.650000000000000000e+02,5.045227944592290896e+02,8.743595123291015625e+01,1.280415344238281250e+02
1.660000000000000000e+02,5.037100540313663828e+02,8.732169342041015625e+01,1.273360290527343750e+02
1.670000000000000000e+02,5.028992461551972610e+02,8.720632934570312500e+01,1.265713119506835938e+02
1.680000000000000000e+02,5.020901701821435950e+02,8.708982849121093750e+01,1.257513046264648438e+02
1.690000000000000000e+02,5.012829341828177121e+02,8.697219848632812500e+01,1.248811721801757812e+02
1.700000000000000000e+02,5.004775450047639538e+02,8.685342407226562500e+01,1.239661331176757812e+02
1.710000000000000000e+02,4.996739088592922258e+02,8.673348236083984375e+01,1.230114364624023438e+02
1.720000000000000000e+02,4.988720929349699986e+02,8.661236572265625000e+01,1.220229187011718750e+02
1.730000000000000000e+02,4.980719104707185352e+02,8.649006652832031250e+01,1.210070648193359375e+02
1.740000000000000000e+02,4.972734371512505049e+02,8.636655426025390625e+01,1.199701309204101562e+02
1.750000000000000000e+02,4.964766040094214077e+02,8.624182128906250000e+01,1.189174423217773438e+02
1.760000000000000000e+02,4.956814775097195707e+02,8.611584472656250000e+01,1.178537216186523438e+02
