Iter,Loss,l1,l2
2.700000000000000000e+01,1.639339813549045175e+03,9.753675842285156250e+01,5.414100265502929688e+01
2.800000000000000000e+01,1.617446731501288014e+03,9.742617797851562500e+01,6.587847900390625000e+01
2.900000000000000000e+01,1.584317066930804003e+03,9.731890869140625000e+01,7.761007690429687500e+01
3.000000000000000000e+01,1.537909885002779220e+03,9.721537017822265625e+01,8.927930450439453125e+01
3.100000000000000000e+01,1.487151681796290859e+03,9.711571502685546875e+01,1.008170394897460938e+02
3.200000000000000000e+01,1.441830665048685432e+03,9.701995086669921875e+01,1.121444702148437500e+02
3.300000000000000000e+01,1.405263960382991172e+03,9.692801666259765625e+01,1.231771926879882812e+02
3.400000000000000000e+01,1.375283052882728271e+03,9.683985900878906250e+01,1.338328552246093750e+02
3.500000000000000000e+01,1.349358543739430843e+03,9.675542449951171875e+01,1.440347900390625000e+02
3.600000000000000000e+01,1.325547872138181901e+03,9.667469024658203125e+01,1.537135162353515625e+02
3.700000000000000000e+01,1.300766572973674329e+03,9.659768676757812500e+01,1.628149566650390625e+02
3.800000000000000000e+01,1.272404408589842888e+03,9.652439117431640625e+01,1.713170166015625000e+02
3.900000000000000000e+01,1.241694308223813550e+03,9.645476531982421875e+01,1.792397308349609375e+02
4.000000000000000000e+01,1.212682322034749404e+03,9.638867187500000000e+01,1.866356353759765625e+02
4.100000000000000000e+01,1.187300830439961373e+03,9.632592010498046875e+01,1.935684509277343750e+02
4.200000000000000000e+01,1.162863590438384790e+03,9.626617431640625000e+01,2.000982971191406250e+02
4.300000000000000000e+01,1.135373838997331177e+03,9.620899200439453125e+01,2.062779388427734375e+02
4.400000000000000000e+01,1.104611288507821200e+03,9.615385437011718750e+01,2.121531677246093750e+02
4.500000000000000000e+01,1.074781525711293170e+03,9.610016632080078125e+01,2.177609710693359375e+02
4.600000000000000000e+01,1.049815154255528796e+03,9.604731750488281250e+01,2.231239318847656250e+02
4.700000000000000000e+01,1.028598235941214170e+03,9.599480438232421875e+01,2.282433471679687500e+02
4.800000000000000000e+01,1.006743024283122395e+03,9.594223785400390625e+01,2.330971527099609375e+02
4.900000000000000000e+01,9.828802624297775310e+02,9.588939666748046875e+01,2.376465301513671875e+02
5.000000000000000000e+01,9.597682793079757175e+02,9.583621978759765625e+01,2.418464202880859375e+02
5.100000000000000000e+01,9.394032713710403186e+02,9.578276062011718750e+01,2.456513671875000000e+02
5.200000000000000000e+01,9.206165617930279268e+02,9.572911071777343750e+01,2.490140380859375000e+02
5.300000000000000000e+01,9.019091587570014781e+02,9.567534637451171875e+01,2.518784027099609375e+02
5.400000000000000000e+01,8.835376816688201416e+02,9.562153625488281250e+01,2.541710662841796875e+02
5.500000000000000000e+01,8.656501152383228828e+02,9.556779479980468750e+01,2.557971954345703125e+02
5.600000000000000000e+01,8.474261757495668235e+02,9.551424407958984375e+01,2.566514587402343750e+02
5.700000000000000000e+01,8.293808519153830048e+02,9.546109771728515625e+01,2.566457824707031250e+02
5.800000000000000000e+01,8.130094973711029525e+02,9.540854644775390625e+01,2.557316284179687500e+02
5.900000000000000000e+01,7.978565991029579436e+02,9.535674285888671875e+01,2.538906555175781250e+02
6.000000000000000000e+01,7.822161672948775504e+02,9.530577850341796875e+01,2.511079559326171875e+02
6.100000000000000000e+01,7.662347741973973143e+02,9.525565338134765625e+01,2.473611602783203125e+02
6.200000000000000000e+01,7.517492301286011980e+02,9.520636749267578125e+01,2.426338500976562500e+02
6.300000000000000000e+01,7.391642116622016374e+02,9.515792083740234375e+01,2.369336547851562500e+02
6.400000000000000000e+01,7.270014244887830728e+02,9.511029815673828125e+01,2.302946777343750000e+02
6.500000000000000000e+01,7.147866451493239310e+02,9.506344604492187500e+01,2.227656402587890625e+02
6.600000000000000000e+01,7.033729239518456779e+02,9.501730346679687500e+01,2.143919677734375000e+02
6.700000000000000000e+01,6.930710995306357063e+02,9.497172546386718750e+01,2.051984100341796875e+02
6.800000000000000000e+01,6.836298407311883238e+02,9.492657470703125000e+01,1.951903076171875000e+02
6.900000000000000000e+01,6.746705576641201105e+02,9.488172149658203125e+01,1.843807678222656250e+02
7.000000000000000000e+01,6.659309139863607925e+02,9.483708190917968750e+01,1.728188171386718750e+02
7.100000000000000000e+01,6.579072641506558057e+02,9.479261779785156250e+01,1.605881805419921875e+02
7.200000000000000000e+01,6.509956283746813597e+02,9.474826812744140625e+01,1.477772216796875000e+02
7.300000000000000000e+01,6.444703573749450243e+02,9.470389556884765625e+01,1.344498596191406250e+02
7.400000000000000000e+01,6.380224610989677103e+02,9.465930175781250000e+01,1.206418380737304688e+02
7.500000000000000000e+01,6.324617479255331318e+02,9.461423492431640625e+01,1.063843460083007812e+02
